,.I,.T,.A,.W
798,799.0,access recognit user data cataloqu entri,kochen ,pattern analys data larg survey use three univers one public librari know object studi success failur correl degre correct complet searcher inform item wish locat factor involv search strategi discus doubl role play titl author way access catalogu mean identifi right entri examin
799,800.0,growth util obsolesc scientif period literatur,brookes ,recent correct appar half life rate literatur critic analyz use concept util consid sampl varianc involv paper show line techniqu question impract factor growth number contributor need allow vickeri analysi collabor empir investig propos
800,801.0,udc user profil develop comput base sdi servic iron steel industri,carmichael ,extens select dissemin inform system requir comput techniqu index languag adopt necessari classif individu client work british corpor broad field activ within iron steel industri use servic show udc provid satisfactori basi major far construct relev nineti five base user ass possibl futur develop compil profil consid
801,802.0,feasibl studi scheme reconcil thesaurus cover common subject,neville ,feasibl examin devi scheme oper joint system give subject area use sever independ compil thesaurus suggest individu particip thesauru repres indentifi concept concept give uniqu code number code number enabl particip thesauru convert appropri particip incompat keyword system aris differ select form keyword eleven type incompat identifi method reconcili propos type incompat aris singl languag includ aris one languag anoth multilingu joint system present addit problem
802,803.0,progress document,foskett ,term at first advanc formal director viniti mikhailov colleagu chernyi r gilyarevskii paper at new name theori publish end one thousand nine hundr sixti six english translat circular begin one thousand nine hundr sixti seven author state paper first use term quot review professor j g dorfmann book fundament dorfmann critic use terminolog document documentalist scienc definit state care add rider at investig specif content structur properti paper also advanc definit scientif inform scientif inform activ inform offic inform scientist back propos chang titl book second edit titl inform scienc fascicul referativnyi zhurnal call informatiki
803,804.0,sever law relat scienc bibliographi self consist interpret,naranan ,sever power law relat find occur bibliograph studi scientif interpret self consist manner term growth paramet articl journal citat similar model propos earlier physic biolog behavior scienc
804,805.0,automat index use bibliograph citat,salton ,attach technic various refer relat item literatur confer import give piec write serv supplementari present studi directli identifi document content attempt make evalu environ show use bibliograph addit normal keyword type indic produc improv perform circumst citat effect retriev purpos convent term concept
805,806.0,extens user literatur awar measur retriev perform applic medlar,miller ,system file hundr ass relev number queri suitabl recal ratio fraction relev refer system file larg method perform practic recal although estim number estim procedur examin find unsatisfactori anoth measur retriev perform extens ratio approxim ratio quantiti know relev refer put queri retriev system properti measur examin appli three hundr fifteen medlar search
806,807.0,free text word retriev scientist index perform profil cost,carlson ,compar perform profil determin two independ scientif inform centr line retriev mean free text word b index code data base four six hundr descript go research project four broad area altogeth thirti nine question user previous ask scienc inform exchang sie smithsonian institut four subject area employ sie staff scientist twelv independ use staff member biolog scienc commun project bscp georg washington univers result two studi show averag recal valu thirti forti high relev valu fifteen twenti high subject index code use compar text word use advantag disadvantag approach discus
807,808.0,use old literatur obsolesc,sandison ,terminalog paramet describ librari discus unless correct growth appli half life fail simpl test suitabl brook util factor result base cumul import disadvantag rel use per figur satisfactori need relat terminolog close fact repres stress suggest defin context studi fifti citat probabl age equival avoid similar object data item consult approxim exponenti differ demonstr updat basic academ reader type literatur histor search neg decay rate find nrlsi bml
808,809.0,singl comput base system current awar retrospect search oper experi assassin,bramwell ,assassin design oper ici agricultur divis provid singl paper tape input current awar servic sdi retrospect search weight term machin search print kwoc type index program produc structur thesaurus part input form abstract publish intern sourc system oper year agricultur divis current use five locat flexibl demonstr varieti paper outlin variou show singl packag may use complet part modif machin cost give major applic system design possibl input extern produc machin readabl data mind intend applic packag conjunct tape institut scientif inform sourc chemic abstract condens outlin
809,810.0,probabilist search strategi medlar,miller ,one techniqu co ordin index compar express index term divid file altern assign calcul index term n high file techniqu sever advantag theori perform slightli well test n equal number retriev correspond test minimum valu n ten use less number refer match boolean requir score techniqu success widen score search retriev twice mani relev refer boolean search
810,811.0,measur reader failur shelf,schofield ,paper concern know outlin simpl method wherebi record look alreadi instal four univers consid show an find non area caus even item heavi avail provid inform degre co oper reader number twice three etc overlap popular differ group borrow wait pattern demand particular period relationship recal correl one term next rel use insid outsid result possibl recommend certain chang procedur reduc failur compar titl book fail main librari hold department librari time spend total cost survey also give
811,812.0,statist interpret term specif applic retriev,sparck jones ,exhaust document descript index usual regard independ suggest interpret statist function use rather mean effect retriev variat examin experi three particular occur requir good overal argu weight accord frequenc less specif great valu match frequent term result test collect show consider improv perform obtain simpl procedur
812,813.0,compar effici search titl abstract term free text data base,wyatt ,choic suitabl provid inform servic govern factor coverag cost cost subscrib know quantiti coverag decid produc paper describ investig rel four major abstract servic magnet tape ct citat chemic abstract condens cac enrich keyword phrase chemic biolog activ cbac polym scienc technolog post contain full digest addit perform measur term rel currenc four data base retriev effici fifti question industri govern re organ use experi search correspond question construct search databas output assess relev user perform figur precis recal ratio calcul profil overal retriev effici profil search data base contain titl plu keyword titl plu digest calcul result present
813,814.0,toward automat profil construct,barker  veal  wyatt ,paper part abstract condens cac evalu carri unit kingdom chemic servic ukci work describ design test feasibl semi automat method replac reduc intellectu effort involv retriev inform machin readabl store particularli use natur languag
814,815.0,standard time inform system method data collect analysi,robertson ,view obtain set standard inform system aslib research depart test certain current state develop data collect self record diari method complet perform oper major problem one identifi describ analyz effect variou factor might affect first result indic possibl explain larg proport variat individu time take account suffici number variabl
815,816.0,measur reader failur shelf three univers librari,schofield ,paper continu report unit often shelv particular slight modif earlier one ask record detail period subject area academ statu date place adjoin box fron analysi slip possibl determin caus individu look group volum new develop sampl fortnight peak demand survey provid inform failur reader work action take fail whether adequ substitut mani find brow proport consult answer could check direct count book borrow carri three univers characterist structur teach pattern differ reflect result obtain hope method use employ librarian investig effect servic librari
816,817.0,aberrystwyth index languag test,keen ,report laboratori mparis effect effici five subject area librari inform scienc three post compress term uncontrol two pre co one hierarch structur eight comparison make factor studi languag linkag index specif exhaust method co ordin precis devic partit relat oper provis context search file full detail test retriev result present
817,818.0,progress document research user behaviour univers librari,ford ,task achiev simplist statement perhap rare defin term broad exampl meet fact definit object servic organ like iter process explicit commit need howev mystic concept may requir librarian examin first step determin polici complet state art user behaviour would fill substanti book survey restrict draw togeth thread research potenti applic univers librari methodolog problem discus sinc adequ review elsewher
818,819.0,document analysi linguist theori,gardin ,shell concern aspect relat linguist name follow extract mean case could defin latter without usual distinct literatur object inform scienc histor record myth folklor sacr write inde these littl hope understand kind intellectu oper involv question pertain studi textual analysi gener carri mani disciplin histori sociolog cultur anthropolog exegesi etc gardin one thousand hundr sixti nine purpos present howev shall concentr handl scientif document first narrow sen refer categori text far submit analyt process compar natur
819,820.0,studi compar retriev use titl use index term sdi nuclear scienc abstract,datta ,select dissemin inform base scan nuclear scienc abstract tape oper harwel sinc octob thousand nine hundr sixti eight user interest profil construct use euratom categori assign item perform mechan sdi compar pre exist current awar base visual scan journal report inform staff visual provid import good currenc high eighti five limit number user mechan servic less select low approxim fifti expand readili order compar effect euratom sdi experi set sixti user mechan servic ass nsa notif gener either categori subject categori without awar method ten zero ass fron six issu nsa return averag precis forti five six forti seven three word retriev ratio thirteen system miss mani relev retriev index term retriev fifti eight relev document select convers ratio fifti signific effect document type subject rel effect two match system result analyz length appear titl longer one hundr charact titl word give recal equal index term though low precis detail studi sampl item find visual scan miss comput match find one comput method make identifi reason failur
820,821.0,recent growth literatur biochemistri chang rank period,sengupta ,idea techniqu physic systemat appli live matter sinc fifti sixti result rapid larg increas take place research activ biophys molecular biolog emerg import area consequ enorm growth creat great difficulti track signific subject cope unpreced growth literatur rank period prepar basi citat annual review istri sixti eight sixti one thousand nine hundr seventi expect reflect impact literatur progress knowledg accur prepar henkl one thousand nine hundr thirti eight list bring predomin posit biochem research total effort today increas bia cognat disciplin toward biochem methodolog method analysi number citat size journal concern averag length paper publish develop appli studi analysi yield three paramet use assess actual interest journal number paper publish compact inform content scientif valu paper relat compact result studi discus relat bradford law scatter extens law suggest name phase rapid vigor growth knowledg scientif disciplin articl interest disciplin appear increas number period distant field expect present rank list enabl librarian profession worker field biochemistri select journal viewpoint signific activ area present day biochem research
821,822.0,cost survey mechan inform system,vickers ,cours survey cover paper collect visit eighteen europ usa use structur scheme sampl produc self contain creat provid servic base obtain unit deriv contribut figur discus analysi affect significantli manag salari variat product staff technic factor depth index data prepar method comput program total oper budget system also analys show overal pattern cost distribut includ overhead
822,823.0,progress document measur good librari servic gener framework consid quantit measur,orr ,literatur last decad reflect steadili increas quantit assess servic concern result reaction grow within without profess manag scienc pressur gener mani factor includ success tool field adopt organ support increasingli explicit charact competit fund level complex critic natur decis host new option creat technolog formal librari network
823,824.0,specif term valu automat index,yang ,exist practic automat review show standard theori specif valu adequ new techniqu introduc assign weight index term base characterist individu document collect effect propos method evalu
824,825.0,progress document develop preci theoret technic histori,austin ,start trace theoret begin describ briefli present form serv introduct familiar also help explain relev histor section follow shall see machin produc syntax deriv studi natur languag research principl new gener classif preserv context respect tradit alphabet subject head like develop coat british technolog preci consist essenti set work procedur prescrib list phrase firmli base upon concept open end vocabulari mean index time soon encount literatur admit relationship term handl two differ way distinguish syntact semant side system
825,826.0,user evalu inform retriev system,cleverdon ,fairthorn may first person recogn certainli author fairthorn first make explicit fundament problem inform retriev name clash obna abno although one thousand nine hundr fifti eight term occur fairthorn write concept discus mani meet agard document panel elsewher origin consid meet two requir might necessari two separ test uniterm one thousand nine hundr fifti four base hypothesi marshal system e g u c fundament differ retriev system e g uniterm idea persist form time gradual evolv invers relationship recal precis say possibl obtain relev document altern obtain possibl obtain
826,827.0,evalu inform retriev system,farradane ,method test system practic theori critic review new theoret consider advanc
827,828.0,studi current awar public neurosci,lancaster ,mail questionnair print devic special area one manual prepar product medlar studi determin use much degre success major purpos discov valuabl user impact research profession practic well comparison make result two public conclus draw inform seek behaviour neurosci commun requir effect current awar servic field
828,829.0,foundat evalu,rijsbergen ,mathemat theori use construct framework evalu inform retriev strategi arriv base precis recal detail examin kind condit model expect satisfi plausibl effect deriv final number measur show special case
829,830.0,progress document,jones ,articl art analyz character document manipul descript search gener languag use purpos concentr literatur sixti eight one thousand nine hundr seventi three defin topic context ii iii consid work syntax semant respect detail iv comment indirect v briefli survey oper mechan system vi major experi review section vii attempt overal conclus current state automat index techniqu
830,831.0,effect larg scale photocopi servic journal sale,wood ,proposit examin scale photocopi practis british lend divis affect sale littl reduct figur spite risen much fast term cost per page retail price index univers sinc nllst devot increasingli high proport budget recent financi forc cancel extens survey show heavi concentr rel number titl well establish wide hold larg circul print issu averag small conclud absenc evid contrari difficulti experienc journal publish increas demand blld unrel though owe someth econom pressur librari
831,832.0,statu practicum graduat librari school,grotzinger ,earli school dedic practic work necessari compon everi program fact heavili numer commentari time centuri progress howev pier preoccup come critic one thirti recent decad equal strong document attack earlier curriculum one thousand nine hundr seventi amid mani question rais relev contemporari librari educ appear reviv use field experi
832,833.0,new linear notat system base combin carbon hydrogen,skolnic ,new linear describ design one correspond chemic structur repres uniqu unambigu yet simpl compat comput input output charact symbol use denot carbon term bound attach hydrogen notat system illustr acycl carbocycl heterocycl exampl
833,834.0,cost librari catalog card produc comput,kilgour ,product cost seventi nine hundr thirti one analyz produc four variant columbia harvard yale procedur employ ibm hundr seventi document writer ibm one thousand four hundr one comput cost per card rang eight nine eight cent complet card
834,835.0,compress word code techniqu inform retriev,nugent ,descript comparison present four techniqu word inform retriev emphasi use creat directori larg data file show applic object lead differ measur optim code though compress may common qualiti
835,836.0,entri titl compress code access machin readabl bibliograph file,buchinski ,compress code propos fulfil follow requir librari univers saskatchewan one access marc tape two entri titl access acquisit catalogu process file three entri titl duplic order edit within acquisit catalogu process file studi produc code applic code discus
836,837.0,inform requir social scienc preliminari consider,line ,almost entir unexplor shall argu explor desir discus reason attempt analysi factor consid possibl method articl earli product investig requir social scienc carri two research direct support offic scientif technic inform base report preliminari stage present osti april one thousand nine hundr sixti eight
837,838.0,prospect new gener classif,austin ,tradit knowledg break self contain analys point particular decat lead problem currenc keep line discoveri b hospit allow room insert new c cross if may way fit logic disciplin anoth machin retriev also hamper fact individu differ depend scheme appear approach consid organ univers everi set acquir wherev find present compound handl though belong one two basic type use either class identifi notat select appropri subject build accord formal final class number incorpor convey fundament relationship concept fron viewpoint rule oper propos system see grammar ir languag schedul entitl attribut vocabulari
838,839.0,inform servic univers librari,line ,recent year reader instruct subject special go small way meet explos reason dynam person social scientist includ limit research present use prefer user channel commun increas pressur time univers teacher problem associ comput retriev system specialist post offic creat part librari function distinct librarian difficulti aris locat oper discus cost inform servic depth heavi may possibl develop within exist budget realloc fund staff duti
839,840.0,viabil branch librari,brookes ,simpl model two stage hierarch system describ model indic term user cost viabil branch librari stock signific factor use analysi show ratio two actual user cost rather actual cost show viabil level stock provis branch librari determin ratio
840,841.0,work studi librari,gilchrist ,brief review princip studi give suggest techniqu applic librari librarian increasingli problem increas work load becom sever concern standard time perform would system design plan provid data put proper context particularli use improv effect well effici
841,842.0,administr effect time cost librari oper,smith  schofield ,kind need manag an make correct decis consid emphasi valu current data except situat manag great use comparison either intern data simpl standard record urg an may readili identifi procedur requir improv develop present trace origin state simpl manag system base except report e report except occur particular survey pilot studi larg univers librari full instal two univers librari method analyz raw data describ exampl tabl give togeth brief background inform librari concern note limit present method unit gener unit time cost give numer oper librari survey cover reader technic servic agreement result sever american studi present investig comparison inform time salari use conjunct standard civil servic cost procedur
842,843.0,subject specialis academ librari preliminari observ role conflict organiz stress,guttsman ,east anglia organ basi subject special author believ applic small medium size comparison univers structur show system bring organiz strain conflict situat respect career pattern member need recogn academ consider promot stress case full involv senior librari staff polici make
843,844.0,graduat academ librari survey past student post graduat school librarianship inform studi sheffield univers one thousand nine hundr sixti four sixti five one thousand nine hundr seventi seventi one,roberts ,sheffield follow studi reveal overwhelm major post graduat school librarianship inform scienc satisfi work situat factor relat satisfact dissatisfact examin togeth job mobil drop rate
844,845.0,person servic academ research experiment inform servic social scienc univers bath,evans  line ,sixti thousand nine hundr seventi one person social scienc research bath bristol princip offer manual current awar base mainli scan primari abstract journal feedback slip return client notifi questionnair end experi relev perform good refer see precis could sacrif ensur comprehens recal whole nearli user consid high prioriti among variou possibl claim resourc close contact offic best score aspect evalu rate highli gener observ place valu inform servic univers librari give conclus
845,846.0,jess shera theori bibliographi,brookes ,twenti year ago jess suggest analyt bibliographi might help bridg servic littl note take propos time develop sinc occur briefli report argu shera macrobibliographi social epistemolog provid subject theoret studi also need ration design librari inform system network near futur
846,847.0,librari instruct develop individu,hills ,univers educ defin guid toward becom self direct individu examin term student need awar academ librari staff psycholog principl learn appli purpos consid togeth use audio visual method paper end consider present practic constraint possibl futur action
847,848.0,book catalog stanford,johnson ,descript system product book undergradu librari use ibm twelv k storag tape drive expand chain one thousand four hundr printer twenti nine card punch input describ convers inform readabl form machin record produc comput program print annual three part author titl subject shelf list cumul supplement issu quarterli central idea depict abandon main concept alphabet arrang entri discus sort key file observ symbol employ alter order problem encount cost factor involv prepar catalog summar
848,849.0,develop administr autom system academ librari,gennardo ,first consid three gener larg research librari decid simpli wait attempt develop total start may adopt evolutionari lead integr system outsid consult suggest becom increasingli second part paper deal import element program regardless approach includ build capabl autom work staf equip organiz structur select project cost
849,850.0,bell laboratori librari real time loan system bellrel,kennedy ,bell telephon laboratori establish line circul system link two termin three large librari central object includ improv servic comput pool collect immedi report avail record automat follow reduc labor increas manag inform loan return reserv mani queri real time input may keyboard combin card read handl public borrow present absent bellrel use one thousand five hundr transact per day
850,851.0,bibliograph retriev bibliograph input hypothesi construct test,ruecking ,studi problem associ bibliograph unverifi input data suppli request code deriv compress titl author inform charact abbrevi use test ibm thousand four hundr one comput retriev accuraci nineti eight sixti seven
851,852.0,marc ii cobol,avram  droz ,descript machin process ii use applic librari congress system three hundr sixti thirti emphasi manipul cobol highli complex marc record contain variabl length field
852,853.0,fast algorithm automat classif,dattola ,ecoom classif process order log n element employ n squar procedur convers proof give possibl inform retriev applic discus
853,854.0,librari network analysi plan lib nat,duggan ,preliminari report plan design undertaken refer round tabl associ state advisori council servic construct act titl iii texa program necessari compon discus network transact eighteen dalla area librari analyz use methodolog quantit measur develop project
854,855.0,marc sort program,rather  pennington ,describ characterist perform potenti edit gener creat key marc ii record user option sked modif ibm three hundr sixti do tape sort merg form basi comprehens program arrang catalog comput
855,856.0,concept line computer librari catalog,kilgour ,concept mechan descript catalog present togeth four area research program undertaken
856,857.0,teach marc tape,atherton  tessier ,comput base laboratori librari scienc student use class assign independ project develop use one year syracus univers marc pilot project tape form data base differ comput program variou sampl marc file forti eight zero record approx use search retriev oper data base program seven differ class assign describ evalu impact librari educ gener individu student faculti particular
857,858.0,recon pilot project progress report,avram ,synthesi report submit congress council librari resourc offic grant initi recon pilot give overview project progress make august novemb one thousand hundr sixti nine follow area train select materi convert investig input devic format recognit
858,859.0,comparison lc proofslip marc tape arriv date univers chicago librari,payne  mcgee ,comparison arriv date five thousand twenti lc correspond magnet tape four fifth marc record receiv week earlier proofslip
859,860.0,standard cost autom librari system,jacob ,autom librari current give publish report tend mislead confus necessari clear understand deriv make clearli defin term time unit straight dollar cost use one mean comparison among variou guidelin design new system
860,861.0,recon pilot project progress report novemb one thousand nine hundr sixti nine april one thousand nine hundr seventi,avram  guiles  maruyama ,synthesi second report submit congress council librari resourc grant pilot project overview progress make novemb sixti april one thousand nine hundr seventi follow area product offici catalog comparison format recognit research titl microfilm investig input devic addit statu assign recon wake task forc briefli describ
861,862.0,algorithm variabl length proper name compress,dolby ,viabl line search system reason capabl automat detect hope correct variat request store format import requir solut problem input storag specif subject ot error also variou transliter exist variant form data base paper review sever match provid updat version scheme nice proper equival class suburban telephon book appendix list corpu name use algorithm test
862,863.0,recon pilot project progress report april septemb one thousand nine hundr seventi,avram  maruyama ,synopsi third report pilot project submit congress council librari resourc overview give progress make april septemb one thousand nine hundr seventi follow area product format recognit research titl microfilm investig input devic addit statu assign recon work task forc briefli describ
863,864.0,monocl,chauveinc ,new process format base bnb elabor marc ii enlarg marc ii encompass french catalog practic file arrang french catalog
864,865.0,scope cost analysi autom serial record system,koenig  finlay  cushman  detmer ,computer serial record control system develop one thousand nine hundr sixti eight sixti nine technic inform depart pfizer inc describ subject analysi analysi conduct context invest decis use concept net present valu method previous use librari literatur cost analysi reveal posit net present valu system life break even requir seven year ten cost capit demonstr autom system econom justifi librari rel modest size approx one one hundr serial period titl may break even point term collect size requir success autom serial record small assum date
865,866.0,marc ii base program retriev dissemin,mauerhoff  smith ,subscript congress number approxim sixti use weekli tape put minim select inform current awar paper review work perform batch retriev dissemin provid descript highli flexibl cooper sdi develop univers saskatchewan nation scienc librari system permit search subject area repres english languag monograph literatur marc
866,867.0,algorithm compact alphanumer data,schieber  thomas ,descript place comput auxiliari storag techniqu oper principl take alphabet frequent use combin unus special charact code one two replac enabl ilo achiev rate compress three five data base approxim forti zero bibliograph record
867,868.0,titl entri retriev use truncat search key,kilgour  long  liederman  landgraf ,experi test util truncat search inquiri term line system perform file sixteen seven hundr two titl bibliograph use three key yield eight few entri nineti nine zero time
868,869.0,truncat search key titl index,long  kilgour ,experi show three search key deriv titl suffici specif effici computer interact index file one five nine hundr thirti eight marc ii record
869,870.0,select dissemin marc user evalu,buhr ,outlin term refer investig reaction select dissemin record summari type give user respons analyz interpret light recent develop librari congress implic futur sdi marc univers set conclud paper
870,871.0,analysi search key retriev larg bibliograph file,guthrie  slifko ,two research key four three analyz use probabl formula bibliograph file eight fifti seven hundr twenti five assum random request record permit creation predict model close approxim actual behavior search retriev system determin usag survey
871,872.0,share catalog system ohio colleg librari center,kilgour  long  landgraf  wyckoff ,develop implement share product averag per five twenti nine eight hundr nineti three card finish form alphabet six fifti seven c account give design equip select file organ program describ line catalog discus system easi use effici reliabl cost benefici
872,873.0,content design machin readabl record work paper,avram  guiles ,auspic feder librari associ committe catalog mechan form attempt resolv differ assign nation agenc record paper eman ifla submit standard organ technic committe forti six subcommitte four group prior attempt standard content design exchang data form necessari agre certain basic point futur deriv first work paper statement one obstacl present exist prevent effect intern interchang bibliograph data machin readabl form two score concern ifla work group three definit term includ broad term content design intern standard format deriv would greatli facilit use countri machin readabl bibliograph record issu nation agenc also contribut significantli expans marc languag librari congress
873,874.0,new york public librari autom book catalog subsystem,malinconico  rizzolo ,comprehens bibliograph develop new york public librari uniqu use autom author sophist machin file algorithm primari aim rigor establish form refer origin impetu creation system highli visibl product photocompos subsystem suppli automat punctuat condens entri contain abil produc cumul supplement book catalog instal without loss control cross referenc structur
874,875.0,file structur line catalog one million titl,dimsdale ,descript give organ design line suitabl autom librari one million book method virtual hash address rapid search index catalog file textual materi compress form allow consider reduct storag cost
875,876.0,catalog record retriev peson author use deriv search key,landgraf  kilgour ,investig show search key deriv name posse suffici degre distinct employ effici computer interact index file marc ii catalog record one sixti seven hundr forti five person author entri
876,877.0,comparison marc serial nsdp isbd,pulsifer ,briefli character compar specif record mar distribut servic nation program intern standard bibliograph descript serial data content applic machin format analyz
877,878.0,ad hoc discus group serial data base histori current posit futur,anable ,ad hoc discus data base form result inform hold american confer la vega june twenti six one thousand nine hundr seventi three attend primarili interest gener mainten union author involv meet later activ group stem contract nation librari canada york univers concern investig problem associ machin readabl serial file
878,879.0,provid bibliograh servic machin radabl data base librari role,gennaro ,play key role provid access data base subscrib tape servic process commonli assum high cost natur demand make approach unfeas like librari refer staff develop capabl serv broker local campu user variou region special retail distribut center exist establish
879,880.0,bibcon gener purpos softwar system marc base book catalog product,gibson ,bibcon file manag design use ibm three hundr sixti equip perform basic function one creat marc structur bibliograph untag two record page imag book catalog system accept data sever differ input devic produc varieti format line printer photocomposit comput output microform com
880,881.0,impact nation develop librari technic servic public servic,fasana ,sever recent establish nation evalu point view practic essenti awar consequ adopt program planner librarian commun adequ
881,882.0,conser updat,anable ,purpos explain conser answer question rais concern make gener comment problem associ type paper attempt review detail histori oper facet project sinc avail elsewher
882,883.0,medlar ii third gener bibliograph product system,katter  pearson ,replac use nation librari medicin past decad advanc state art massiv inform line access number larg bibliograph effici throughput figur valid map author modular parametr program provid flexibl need support futur system enhanc major describ one specif two input releas three file mainten four five public product six manag report medlar ii retriev subsystem elhil incorpor result experiment aim twx servic
883,884.0,washington librari network computer bibliograph system,reed ,washington network comput assist bibliograph system speed expand librari throughout state includ marc format content design subject name author file sort lc rule stringent qualiti control featur modul add account circul capabl current develop paper describ batch mode subsystem histori oper impact problem cost present development effort toward line integr acquisit catalog support indic
884,885.0,state nation network,butler ,littl ephemer current area rapidli yet rapid chang make valid effort overview point time first task definit descript necessari larg activ describ limit number cover chapter librari volum seven annual review inform scienc provid norm list essenti characterist function marshal resourc accomplish result beyond abil one member two network develop organiz design structur allow establish identifi domain three base commun technolog
885,886.0,autom altern card catalog current state plan implement,bierman ,result studi carri auspic council librari resourc describ state goal studi determin analyz current state plan implement comput gener replac card book microimag line catalog larg collect two hundr fifti zero titl select small librari less two hundr fifti zero titl actual implement altern form catalog
886,887.0,com catalog base oclc record,meyer  knapp ,product com use oclc record magnet tape outlin standard develop within librari commun repres mark format make possibl brief overview procedur involv catalog present
887,888.0,serial data control current problem prospect,fasana ,paper describ three area current activ import convent librari would like gener term eschew detail seem serv confus three area l standard impact influenc current process two standard set project attempt describ defin almost incestu intricaci nation data program nsdp intern serial data system isd conser convers serial three code revis activ outlin influenc current standard project code revis activ comment consid within context convent librari primarili one wherein card catalog still exist manual process rule
888,889.0,comprehens studi base physic abstract,keeman ,document american institut engag year effort improv variou avail public dissemin literatur numer aspect problem much inform obtain project list bibliographi appear insid cover report studi result determin requir new content analysi physic research paper well product method journal index form backbon work ultim object creation refer retriev system adequ physicist use
889,890.0,pattern recognit structur activ relationship studi comput assist predict antitumor activ structur diver drug experiment mous brain tumor system,chu  feldman  shapiro  hazard  geran ,paper report applic pattern recognit substructur analysi problem antineoplast activ twenti four compound experiment mous brain tumor system base one hundr thirti eight structur diver compound tumor system molecul repres three type substructur fragment augment atom heteropath ring fragment two pattern recognit method use activ test compound near neighbor method predict eighti three correctli learn machin method predict nineti two correctli test structur import substructur fragment use studi give implic result discus
890,891.0,statu need medic school librari unit state,bloomquist ,paper prepar request nation in result studi statu need eighti six basic scienc institut member approv american associ intend summar impact chang experi medic research educ practic collect serv hous staff medic school librari
891,892.0,georgia tech librari microfich catalog,roberts  kennedy ,price gilbert memori georgia institut technolog reproduc entir card updat basic file bimonthli cumul supplement produc comput output com process total catalog place appropri microfich reader everi academ research depart campu therebi take chief record user remot bibliograph access complement telephon servic provid deliveri request book photocopi librari faculti member
892,893.0,frequenc distribut scientif product,lotka ,would interest determin possibl part men differ calibr contribut progress scienc consid first simpl volum product count make decenni index chemic abstract seven thousand nine hundr sixteen appear three entri name firm e g aktiengesellschaft etc omit reckon sinc repres output singl individu unknown number person letter b alphabet cover treat separ aggreg result show tabl figur one two
893,894.0,experi index term frequenc,svenonius ,paper present ment studi factor perform frequenc call number post give collect question ask assign function popular rel infrequ experi cranfield salton data vari nonrandomli output evalu expect search length measur retriev usual recal wilcoxen test use dein statist signific differ show optim variabl depend user need desir effect hand relev want well argument howev make qualiti narrow sinc never improv wherea delet broad alway high precis corollari experi carri compar two averag breadth one semant appropri take document consist mere reason term result suggest titl term index qualifiedli superior
894,895.0,design equat retriev system base swet model,heine ,swet inform allow thread document weight formula probabilist measur effect manag woven coher pattern benefit theori begin quantit descript clear distinct system languag recognit perform tailor suit individu systemat way confirm question gener pivot featur retriev process hypothes involv still need rigor experiment test
895,896.0,job dimens educ need librarianship,kertendick ,undertaken meet fulli demand expand especi occas rapidli role function tri adapt vast social econom technolog current progress rise high requir skill compet often bring urgent improv train beyond first profession degre basic purpos research develop post equip middl upper level personnel librari chang confront although would possibl restructur program add studi show need altern pursu two reason fairli stabl master curriculum wide accept institution import new cours design differ group student experienc librarian
896,897.0,shawne mission line catalog system,miller  hodges ,pilot project elementari school discus compon two thousand seven forti termin upper low case input ibm gener packag usual card label output reason choos fast softwar hardwar featur oper procedur system perform cost detail futur expans one hundr zero annual k twelv acquisit line circul retrospect convers union book catalog set forth
897,898.0,classif system,soergel ,field origin desir librarian arrang document collect subject area mono dicrared classif system purpos make case find clearli develop scienc bring two princip chang situat first enough simpli retriev complet bibliograph item unit rather one tend request inform detail may contain second modern knowledg becom complex interdepend longer possibl provid singl well defin categori book journal articl
898,899.0,technic scientif inform effici applic scienc,mikhailov ,intens scienc immedi applic characterist feel time growth depend speed main task year plan one thousand nine hundr seventi five develop everi possibl way basic appli research rapidli introduc result nation economi direct twenti four th congress cpsu emphas need improv technic guarante systemat transfer interest field institut inform scientif achiev progress experiment area technolog organ product manag
899,900.0,languag barrier studi depth place foreign languag materi research activ academ commun,hutchins  pargeter  saunders ,volum result studi place foreign languag univers cours investig accumul larg amount use publish librari servic research worker academ staff necessarili limit specif aim project constantli awar mani materi reason endeavour includ appendix raw data provid text present analys much detail possibl methodolog background inform necessari full evalu
900,901.0,languag inform select essay theori applic,barhillel ,one time anoth mani author must face dilemma gather publish certain topic republish collect essay whether rework entir new book decid favor first cours regard articl write last fifteen year inform particular technic appli aspect leav futur occas paper philosophi languag
901,902.0,languag mind,chomsky ,chapter book somewhat elabor version beckman deliv univers california berkeley januari one thousand nine hundr sixti seven first attempt evalu contribut base research regard natur second devot contemporari develop linguist bear third highli specul discus direct studi languag mind might take come year three lectur concern past present futur
902,903.0,develop counti law librari,jurkins ,ti parish fifti equival make total three statutori provis seven list american associ one thousand hundr sixti eight directori know lo angel california large collect also seven branch four question readili point simpl fact growth develop unit uneven without pattern standard basi within particular survey thirti nine statut relat reveal two state exactli method establish administr financi support mainten counti law librari
903,904.0,special rule entri serial,carpenter ,one object librari catalog enabl one determin book author librari establish special entri preclud attribut defeat object present six anglo american catalog rule pari principl critic regard cours critic show presenc gener titl presenc name corpor bodi within valid criterion determin public furthermor use form public produc unpredict entri therefor propos special rule entri serial abolish serial treat like work corpor person authorship includ compil work produc editori direct ad benefit allow consist treatment instanc corpor person authorship
