,.I,.T,.A,.W,.B
1744,1745.0,posit paper comput commun,dennis ,effect oper free enterpris creat envis depend upon accomplish one restructur process industri clear divis among two wide multiaccess system concept may share use comput instal cost construct reason three develop public messag switch commun servic adequ provis make inform secur,1968-05-01
1745,1746.0,protect inform process util,graham ,critic design process util permit flexibl share user inform privaci one solut problem discus,1968-05-01
1746,1747.0,three criterion design comput system facilit debug,horn ,design adopt explicit accept reject propos featur three possibl kind record input specifi asynchron reproduc impli user desir either know control influenc affect content extent output defin scope abstract machin program languag notion virtual comput explain exampl applic criterion concern read time day clock synchron parallel process protect multiprogram system assign capabl index,1968-05-01
1747,1748.0,schedul philosophi multiprocess system,lampson ,collect idea evolv variou worker past four year provid suitabl framework design analysi multi notion state vector discus natur basic oper connect process protect gener approach prioriti describ relationship convent interrupt system explain aspect time orient consid implement schedul mechan analyz detail feasibl embodi hardwar establish final sever method interlock execut independ process present compar,1968-05-01
1748,1749.0,structur multiprogram system,dijkstra ,multiprogram system describ activ divid number sequenti process place variou level one independ abstract hierarch structur prove vital verif logic sound design correct implement,1968-05-01
1749,1750.0,consider design multipl comput system extend core storag,fuchel  heller ,larg quantiti address execut fast heighten multiprogram perform multicomput discuss hardwar arrang softwar compon function system base plan dual cdc thousand six hundr share one million word gener design special emphasi estim expect gain compar tradit configur separ independ comput without extend core observ make use convent slow speed random access storag devic place faster memori,1968-05-01
1750,1751.0,work set model program behavior,denning ,probabl basic reason behind absenc gener treatment modern system adequ program behavior paper new model develop associ collect recent use provid knowledg vital dynam manag page process work set show manifest ongo comput activ processor memori defin resourc alloc formul problem balanc demand avail equip,1968-05-01
1751,1752.0,resourc manag medium scale time share oper system,oppenheimer  weizer ,medium size virtual memori machin discus at combin batch process time share environ synopsi task schedul page implement compar give trace develop algorithm six predecessor version throughout discuss particular emphasi place balanc perform rel system resourc simul result rel altern hardwar characterist effect program mix load variat also present,1968-05-01
1752,1753.0,virtual memori process share multic,daley  dennis ,basic involv design oper system introduc multic concept process space memori defin use page segment explain mean user may share procedur data discuss mechan symbol refer dynam transform virtual machin address describ detail,1968-05-01
1753,1754.0,dynam storag alloc system,randell  kuehner ,mani recent design ea problem method character dynam accord function capabl underli techniqu present basic purpos paper provid use perspect util variou hardwar may assess brief survey storag alloc facil sever repres comput system includ appendix,1968-05-01
1754,1755.0,proceed acm symposium oper system principl,,,1968-05-01
1755,1756.0,hollerith punch card code propos usa standard,,,1968-04-01
1756,1757.0,data code calendar date machin machin data interchang propos usa standard,,,1968-04-01
1757,1758.0,symmetr polynomi algorithm three hundr five c one,mckay ,,1968-04-01
1758,1759.0,transport problem algorithm two hundr nineti three h,bayer ,,1968-04-01
1759,1760.0,normal curv integr algorithm three hundr four fifteen,bergson ,,1968-04-01
1760,1761.0,chi squar integr algorithm two hundr nineti nine fifteen,o brien  wood ,,1968-04-01
1761,1762.0,dilogarithm algorithm three hundr twenti seven twenti two,kolbig ,,1968-04-01
1762,1763.0,root low order polynomi equat algorithm three hundr twenti six c two,nonweiler ,,1968-04-01
1763,1764.0,panel discus comput appreci,organick ,nineteen acm twenti th anniversari confer august thirti one thousand nine hundr sixti seven entitl educ design experi second consist comput appreci organ chair elliot four charl h davidson bernard galler richard w ham alan j perli make prepar statement join andri arthur b kohn present transcript panel condens dr organick edit panelist remark van dam kahn discus first half session pertin paper includ refer,1968-04-01
1764,1765.0,expenditur sourc fund util digit comput research instruct high educ one thousand nine hundr sixti four sixti five project one thousand nine hundr sixti eight sixti nine,hamblen ,southern region board publish complet report conduct determin fund character util comput use research instruct institut high educ unit state sampl survey describ estim total popul present,1968-04-01
1765,1766.0,quasilinear estim differenti oper eigenvalu,bellman  kagiwada  kalaba  vasudenvan ,linear ordinari differenti oper contain sever number eigenvalu valu unknown constant estim precis formul provid effect numer procedur solut indic result comput experi give,1968-04-01
1766,1767.0,gener purpos graphic languag,kulsrud ,interact comput termin permit mani new problem solv machin order handl varieti applic expedi gener purpos use number devic design produc quickli cheapli model graphic languag develop system present,1968-04-01
1767,1768.0,global parser context free phrase structur grammar,unger ,analyz free phrase structur program par languag indic invalid describ top bottom type recur heurist procedur whose purpos shorten basic quickli ascertain certain substr input sentenc correspond target nontermin symbol includ gener algorithm parser implement rca snobol test success artifici subset algol number routin extract data grammar minimum length n deriv string possibl prefix give may interest apart applic particular context,1968-04-01
1768,1769.0,expand world comput,harder ,onward sweep automat imped nine princip geographi cost man machin inadequ sensor lack distanc size main incent breach univers need process inform ever urgent great part human work activ chang product servic develop hardwar program data commun display judg remov barrier smash potenti indic continu rapid expans orient languag particularli effect entir front onlin time share also rate high measur educ increas understand basic progress comput complex power tool import one avail govern scientist use studi problem creat popul explos analyz possibl solut,1968-04-01
1769,1770.0,rule ethic inform process,parker ,background motiv council novemb eleven one thousand nine hundr sixti six set ion conduct process describ brief tori give code profess reason adopt ethic rule consid sever section acm guidelin analyz purpos inform import aspect profess well stimul think interest,1968-03-01
1770,1771.0,curriculum sixti eight recommend academ program comput scienc report acm curriculum committe comput scienc,,report academ acm curriculum classif subject contain twenti two area describ prerequisit catalog descript detail outlin annot bibliographi includ evolv committe one thousand nine hundr sixti five preliminari undergradu graduat discuss present master degre way develop guidelin doctor discus specif recommend make import servic cours minor continu emphas attent give organ staff requir resourc facil need implement comput scienc educ program,1968-03-01
1771,1772.0,usascsocr dual case keyboard arrang propos usa standard,,,1968-02-01
1772,1773.0,gener purpos alphanumer keyboard arrang inform interchang propos usa standard,,,1968-02-01
1773,1774.0,program overlay techniqu,pankhurst ,gener three main type automat nonautomat classifi program techniqu explain function machin hardwar featur implement semiautomat overlay facil multiprogram system cdc thousand six hundr describ detail special refer real time applic,1968-02-01
1774,1775.0,adjust invers symmetr matrix two symmetr element chang algorithm three hundr twenti five f one,zielke ,,1968-02-01
1775,1776.0,maxflow algorithm three hundr twenti four h,bayer ,,1968-02-01
1776,1777.0,gener permut lexicograph order algorithm three hundr twenti three g six,ord smith ,,1968-02-01
1777,1778.0,f distribut algorithm three hundr twenti two fourteen,dorrer ,,1968-02-01
1778,1779.0,test probabl algorithm fourteen,morris ,,1968-02-01
1779,1780.0,harmon analysi symmetr distribut data algorithm three hundr twenti c six,hunter ,,1968-02-01
1780,1781.0,translat write system,feldman  gries ,critic review recent effort program languag present formal studi syntax applic ii variou approach autom post syntact semant aspect translat write discus iii sever relat topic section iv,1968-02-01
1781,1782.0,numer integr formula use fourier analysi,meisel ,numer integr formula present use unequ sampl interv interv equal space log scale formul use fourier analysi improv accuraci eas usag complet set formula numer fourier analysi give,1968-01-01
1782,1783.0,convers,matula ,byan convers mean float point one convert float point anoth convert back float point number origin base combin round truncat convers question consid mani signific digit need intermedi base allow convers return origin number possibl least signific digit,1968-01-01
1783,1784.0,practic error coeffici estim quadratur error analyt function,rabinowitz ,publish coeffici estim quadratur analyt function comput assumpt quadratur rule exact polynomi give degre sinc rule use round valu abscissa weight sinc true valu integr polynomi question infinit binari express quadratur rule exact henc error must take consider comput practic error coeffici,1968-01-01
1784,1785.0,scatter storag techniqu,morris ,scatter storag method implement symbol tabl assembl compil review number way effect present mani use variant techniqu document,1968-01-01
1785,1786.0,improv hash code scatter storag,maurer ,introduc code base fix point divis rather multipl logic oper allow hash tabl almost length also new handl collis discus know quadrat method faster random free cluster build linear search,1968-01-01
1786,1787.0,use transit matric compil,gries ,algorithm describ construct suitabl bnf grammar effici leave right sentenc correspond languag type number compil oper pushdown stack transit matrix two exampl illustr recogn may use effect purpos besid usual syntax check,1968-01-01
1787,1788.0,toward gener processor program languag,halpern ,mani effort make develop good way implement high level whole new far none prove gener satisfactori paper contend languag best function bodi call constitut canon form term notat may describ support discus logic toric role macro instruct present also discuss conflict machin independ object program effici question great difficulti lie compil construct,1968-01-01
1788,1789.0,logarithm gamma function algorithm two hundr nineti one fourteen,hoare ,,1968-01-01
1789,1790.0,muller method find root arbitrari function algorithm one hundr nineti six c five,whitley ,,1968-01-01
1790,1791.0,triangular factor modifi matric algorithm three hundr nineteen f one,green ,,1968-01-01
1791,1792.0,exploratori experiment studi compar onlin line program perform,sackman  erikson  grant ,two exploratori system develop corpor compar work line access comput first know studi measur control standard task statist signific indic faster debug onlin condit perhap import practic involv strike individu differ programm perform methodolog problem encount design conduct experi describ limit find point hypothes present account result suggest make research,1968-01-01
1792,1793.0,present alphamer charact inform process propos american nation standard,,,1969-12-01
1793,1794.0,fast random number gener ibm three hundr sixti,seraphin ,,1969-12-01
1794,1795.0,optim code serial parallel comput,fateman ,,1969-12-01
1795,1796.0,index subject algorithm one thousand nine hundr sixti nine,,,1969-12-01
1796,1797.0,solut linear program zero one algorithm three hundr forti one h,proll ,,1969-12-01
1797,1798.0,coulomb wave function algorithm three hundr twenti two,kolbig ,,1969-12-01
1798,1799.0,elementari function continu fraction algorithm two hundr twenti nine b one,bray ,,1969-12-01
1799,1800.0,psif algorithm one hundr forti seven fourteen,parsons ,,1969-12-01
1800,1801.0,analysi varianc balanc experi algorithm three hundr sixti seven g two,claringbold ,,1969-12-01
1801,1802.0,regress use certain direct product matric algorithm three hundr sixti six g two,claringbold ,,1969-12-01
1802,1803.0,complex root find algorithm three hundr sixti five c five,bach ,,1969-12-01
1803,1804.0,color polygon region algorithm three hundr sixti four z,herriot ,,1969-12-01
1804,1805.0,product multiprogram comput progress develop analyt predict method,lasser ,multi discus mode oper two concurr memori central processor unit cpu input output channel actual intermitt singli accord elig readi prioriti use abl repres proceed continu tan may fraction would enjoy absenc effect program mani detail characterist co resid best avail method predict paper present result progress develop altern simul simul test iter comput rate certain situat algorithm sensit factor control phenomenon includ nonquantit topolog featur program structur,1969-12-01
1805,1806.0,downhil method,bach ,downhil solv complex equat zero restrict function w f z must analyt introduct critic review relat literatur present although theori alway show fundament dilemma exist may caus breakdown practic applic avoid difficulti improv rate converg toward root modif origin propos program fortran base modifi method give algorithm three hundr sixti five numer exampl includ,1969-12-01
1806,1807.0,optim express fortran,busam  england ,optim arithmet express base linear analysi definit point branch structur program process one elimin redund refer make common subexpress valu two remov invari calcul loop comput subscript contain iter variabl four provid effici index regist usag method present requir least three pas second scan backward use develop sever fortran prove produc excel object code without significantli reduc compil speed,1969-12-01
1807,1808.0,advanc cryptograph techniqu comput,tassel ,techniqu maintain confidenti inform process deal special emphasi pay uniqu characterist comput file make mani cryptograph littl use rel secur cost prefer method includ paper,1969-12-01
1808,1809.0,numer analysi ph comput scienc program,parter ,studi method use obtain approxim solut much scientif calcul difficulti educ broad area center around question emphasi numer analysi program scienc depart emphas awar problem comput implement experiment procedur nevertheless need solid background appli mathemat,1969-12-01
1809,1810.0,automat fold program effici enough displac manual,sayre ,program avail measur brown et al automat simpl design demand page build ibm research center beladi nelson neil other permit qualiti compar discus give care use unit perform satisfactorili condit test even though oper across memori storag interfac larg speed differ disadvantag pre requir fold manual examin number import troubl beset today show aris aggrav sourc conclud fold mechan probabl becom normal part comput system,1969-12-01
1810,1811.0,case studi program parallel processor,rosenfeld ,affirm partial answer provid question whether possibl parallel comput effici decreas use parallel multi system sever simultan separ task singl job thu cooper decreas comput independ instruct counter mean execut task rel independ commun cooper mean data storag share determin distribut current electr network write parallel comput system execut simul data gather simul run demonstr effici problem typic larg class import problem show proper program n processor appli approach one n time singl processor improp program actual lead increas solut time number processor stabil method solut also investig,1969-12-01
1811,1812.0,fortran random number gener,grosenbaugh ,,1969-11-01
1812,1813.0,gener permut pseudo lexicograph order algorithm three hundr eight g six,ord smith ,,1969-11-01
1813,1814.0,direct search algorithm one hundr seventi eight e four,smith ,,1969-11-01
1814,1815.0,direct search algorithm one hundr seventi eight e four,tomlin  smith ,,1969-11-01
1815,1816.0,gener least squar fit orthogon polynomi algorithm two hundr nineti six e two,watson ,,1969-11-01
1816,1817.0,comput fourier coeffici algorithm two hundr fifti five c six,hall  ray ,,1969-11-01
1817,1818.0,associ legendr function first kind real imaginari argument algorithm forti seven sixteen,cobb ,,1969-11-01
1818,1819.0,complex error function algorithm three hundr sixti three fifteen,gautschi ,,1969-11-01
1819,1820.0,gener random permut algorithm three hundr sixti two g six,robson ,,1969-11-01
1820,1821.0,perman function squar matrix ii algorithm three hundr sixti one g six,shriver  eberlein  dixon ,,1969-11-01
1821,1822.0,short path forest topolog order algorithm h,dial ,,1969-11-01
1822,1823.0,factori analysi varianc algorithm g one,howell ,,1969-11-01
1823,1824.0,aparel par request languag,balzer  farber ,ael describ extens algorithm provid pattern match capabl normal find special purpos snobol four tmg capabl provid state bnf like format form program languag special sequenc rule upon success comet request associ piec pl code execut code avail use normal pl string variou piec level par also avail normal pl variabl inform concern variou altern success conveni facil multipl input output stream initi sequenc par request subroutin par time semant check also includ aparel proven conveni build power syntax function macro system algebra languag preprocessor debug system line command parser translat dataless program gener string manipul,1969-11-01
1824,1825.0,practic method construct lr k processor,korenjak ,practic method develop capabl recogn par input singl backup scan step equal length input plu number step deriv techniqu present base origin method describ knuth decreas effort requir size produc procedur involv partit give grammar number small part k construct part use knuth algorithm certain condit relat individu processor satisfi lr k processor entir grammar construct use procedur lr one parser algol obtain,1969-11-01
1825,1826.0,lisp garbag collector virtual memori comput system,fenichel  yochelson ,paper list process system oper within larg virtual memori describ object algorithm compact activ discoveri free storag never realli exhaust garbag collect easili make therefor variou criterion decis discus,1969-11-01
1826,1827.0,perform monitor time share system,pinkerton ,softwar measur facil part gener purpos time share describ date collect facil dcf implement michigan termin mt three hundr sixti model sixti seven exist purpos monitor oper user behavior perform overal structur mt outlin order explain implement dcf event system identifi record within supervisor dump magnet tape auxiliari line process event user program unrel system action record supervisor call time occurr event accur record data item identifi job type overhead associ data collect interfer normal job care analyz show minim sever exampl give inform obtain facil applic use gener guidelin offer construct futur monitor program,1969-11-01
1827,1828.0,synchron parallel access data base,shoshani  bernstein ,follow problem consid give manipul simultan one rule maxim amount parallel activ allow assum repres graph exampl data base hierarchi directori line file system method synchron process examin valid discus perform compar,1969-11-01
1828,1829.0,interact graphic display monitor batch process environ remot entri,bond  rightnour ,describ develop carnegi mellon univers cdc g twenti one comput gener purpos batch process remot entri exist g twenti one hardwar describ resid auxiliari provid comprehens manageri capabl system respons command human user also respond command user similar interfac routin call take place manual action thu human interact symmetr equal basi medium graphic choic make design graphic monitor give constraint exist hardwar comput system discuss structur monitor program human program interfac describ also transient swap version small resid part provis swap use submonitor,1969-11-01
1829,1830.0,retriev time pack direct access invert file,bayes ,,1969-10-01
1830,1831.0,comment optim tree structur,stanfel ,,1969-10-01
1831,1832.0,minimax logarithm error,dunham ,,1969-10-01
1832,1833.0,ambigu descript algol sixti,herriot ,,1969-10-01
1833,1834.0,axiomat basi comput program,hoare ,paper attempt make explor logic foundat techniqu first appli studi geometri later extend branch mathemat involv elucid set infer use properti comput program exampl give axiom rule formal proof simpl theorem display final argu import advantag theoret practic may follow pursuanc topic,1969-10-01
1834,1835.0,iitran program languag,dewar  hochsprung ,develop use import describ iitran procedur orient one level block structur varieti data type sever novel power featur includ discus design principl follow student languag give,1969-10-01
1835,1836.0,new method determin linear preced function preced grammar,bell ,relat grammar precis describ two dimension often inform repres concis pair vector call new present obtain linear function give preced matrix algorithm show posse sever comput advantag,1969-10-01
1836,1837.0,algol convolut procedur base fast fourier transform algorithm three hundr forti five c six,singleton ,,1969-10-01
1837,1838.0,normal curv integr algorithm three hundr four fifteen,adams ,,1969-10-01
1838,1839.0,singular valu decomposit complex matrix algorithm three hundr fifti eight f one four five,businger  goulub ,,1969-10-01
1839,1840.0,effici prime number gener algorithm three hundr fifti seven one,singleton ,,1969-10-01
1840,1841.0,prime number gener use treesort principl algorithm three hundr fifti six one,singleton ,,1969-10-01
1841,1842.0,algorithm gener ise configur algorithm three hundr fifti five z,simoes ,,1969-10-01
1842,1843.0,choic base,brown  richman ,digit consid whose memoi word compos n r plu sign it two state devic choic base b intern represent float point number comput discuss show certain sen b r best,1969-10-01
1843,1844.0,modular comput share system,baskin  horowitz  tennison  rittenhouse ,altern design gener purpos interact multi present describ conceptu arrang bank interchang memori processor pair assign process job arriv serv master control supervis collect distribut messag simple form crosspoint switch network allow connect thu activ occupi disk drive may mani termin simpl manner ratio depend power machin requir particular mix organ inher simpler therefor reliabl approach time share potenti highli avail rel low cost econom configur possibl rang size span least one order magnitud final problem program develop remot termin user run dedic batch system compat comput use,1969-10-01
1844,1845.0,loader standard overlay program,lanzano ,describ four third gener cdc ge six thirti five ibm sixti univac thousand hundr eight critiqu first three base actual experi larg trajectori simul short histori descript present standard minimum capabl loader recommend must oper one comput system may easili convert maintain propos overlay softwar incorpor occup specif instead condit tree delin concept provid effici cost effect util memori well increas flexibl program structur,1969-10-01
1845,1846.0,simul network parallel process simultan event may occur,parnas ,discret particularli convent digit dealt system assum describ network interconnect sequenti briefli review common use occur ignor handl simpl prioriti rule follow deal simultan separ process introduc abstract develop admit major commonli encount problem either method simul parallel event report none latter show possibl find extend avail solut mani case techniqu becom comput unfeas addit inform provid,1969-09-01
1846,1847.0,algorithm find fundament set cycl graph,paton ,fast method preset fid fundament set cycl undirect finit span tree row vertic turn un vertic store pushdown list await examin one stae process take top element v pushdown list examin e inspect edg v yet examin z alreadi tree fundament cycl ad edg v z place tree exactli one stage n vertic larg n store requir creas n two time n g g depend type graph involv g bind two three show bound attain term storag algorithm similar gotlieb corneil superior welch term speed similar welch superior gotlieb corneil testsshow algorithm remark effici g two random graph,1969-09-01
1847,1848.0,damp taylor seri method minim sum squar solv system nonlinear equat algorithm three hundr fifteen e four c five,silverman ,,1969-09-01
1848,1849.0,function minim algorithm two hundr fifti one e four,hamilton  boothroyd ,,1969-09-01
1849,1850.0,gener permut lexicograph order algorithm three hundr twenti three g six,leitch ,,1969-09-01
1850,1851.0,gener span tree algorithm three hundr fifti four h,mcilroy ,,1969-09-01
1851,1852.0,base mobil program system,orgass  waite ,algorithm macro processor use base implement bootstrap processor program languag describ algorithm easili implement contemporari comput machin experi program languag whose implement base algorithm indic languag transfer new machin le one man week without use old machin,1969-09-01
1852,1853.0,compact list represent definit garbag collect system implement,hansen ,store sequenti memori rather pointer sinc alway conveni swym permit chain combin two descript represent oper similar lisp one five collector attempt make reloc rearrang temporari storag uniqu list compact garbag collect algorithm present detail sever class macro use describ final consider give design factor essenti success plex process system implement,1969-09-01
1853,1854.0,multiprogram machin code comput organ,wirth ,author feel featur avail modern comput potent sourc pitfal error therefor may heavili contribut unreli make avoid concept interrupt permit specif pseudoconcurr supposedli perspicu manner intend serv basi construct oper prime exampl concurr activ scheme includ basic gener termin synchron parallel process set routin repres therebi simul hypothet machin organ implement test ibm system two program use instruct write pl three hundr sixti present,1969-09-01
1854,1855.0,program syntact analysi english sentenc,dewar  bratley ,program describ produc syntact analys english sentenc respect transform grammar main featur analyz use limit dictionari english word pursu analysi path simultan process sentenc leave right form represent use dictionari grammar indic outlin account give analysi procedur techniqu keep size analysi record within reason limit avoid need dynam applic certain transform rule describ number exampl output produc program give output includ time inform,1969-08-01
1855,1856.0,teachabl languag comprehend simul program theori languag,quillian ,teachabl languag design teach english see input correctli explicit implicit larg semant network repres world also creat copi part find adapt combin copi repres mean new mean mean success encod format form ad correctli relat memori prior content taught need present contain rel small number exampl within system notat express either provid thu program correspond gener process languag provid methodolog ad addit inform process requir actual particular kind memori structur comprehens process tlc allow new factual relat text store gener automat assert capabl put system becom avail help comprehend great mani sentenc futur thu addit singl factual assert linguist capabl often provid larg increment tlc effect knowledg world overal abil comprehend text program strategi present gener theori languag comprehens,1969-08-01
1856,1857.0,filon quadratur algorithm one,chase  fosdick ,,1969-08-01
1857,1858.0,algorithm filon quadratur,chase  fosdick ,filon quadratur describ consider attent devot analysi round truncat algorithm includ automat error control featur,1969-08-01
1858,1859.0,error bound period quintic spline,hall ,explicit error bound period quintic spline interpol develop first third deriv period spline show sixth fourth order approxim mesh point first third deriv function interpol,1969-08-01
1859,1860.0,algol base associ languag,feldman ,high level program larg complex associ design underli data structur implement use hash code techniqu discus includ comparison work exampl applic languag,1969-08-01
1860,1861.0,mad definit facil,arden  galler  graham ,first high level describ user defin new oper data type mad languag use appear predefin inform give one well much motiv behind form write conclus drawn futur definit facil,1969-08-01
1861,1862.0,comput capabl argentin chilean univers,finerman ,author report trip novemb one thousand nine eight describ condit elsewher experienc discont statu quo solut attempt contrast argentina exclud student chile allow particip servic activ limit number small capac none large ibm three hundr sixti forti except scienc program rare situat mean attribut respons strive excel rather system hard come univers especi strong european tradit adapt slowli new academ resourc disciplin superimpos sever technolog econom constraint develop nation consequ absenc consciou govern emphasi strengthen comput capabl futur progress may retard,1969-08-01
1862,1863.0,minit algorithm linear program algorithm three hundr thirti three h,messham ,,1969-07-01
1863,1864.0,gener hilbert deriv test matrix algorithm two hundr seventi four f one,boothroyd ,,1969-07-01
1864,1865.0,algol sixti refer languag editor algorithm two hundr sixti eight r two,sauer ,,1969-07-01
1865,1866.0,characterist valu associ solut mathieu differenti equat algorithm three hundr fifti two twenti two,clemm ,,1969-07-01
1866,1867.0,expect length sequenc gener sort replac select,hooker ,repac seect sort one interest ratio l expect length th sequenc gener techniqu number memori cell use complex variabl theori show l asymptot averag interv sign chang l j thousand six hundr sixti two,1969-07-01
1867,1868.0,obtain correct input new approach,kennedy ,inform put readabl form whether scientif busi origin still paper address toward difficulti obtain correctli keypunch key verifi data altern method suggest comput use rule possibl input techniqu explain illustr refer work program involv essenti two first error detect machin subsequ second phase correct,1969-07-01
1868,1869.0,block structur indirect address garbag collect,kain ,languag includ explicit implicit block structur provid conveni programm howev use may introduc describ result desir consequ one name constraint disappear even indirect address within definit two signific save number collector garbag collect littl expens time function return call program modif implement extens snobol dialect,1969-07-01
1869,1870.0,techniqu use pseudorandom number comput simul,donnelly ,algorithm uniform pseudorandom integ may construct binari probabl word one bit assum desir paramet valu techniqu make use number simul program describ,1969-07-01
1870,1871.0,automat contour map,cottafava  lemoli ,contour map mean git plotter discuss new present simpl enough rather small number one hundr twenti instruct requir comparison author also perform fortran iv program implement propos method avail istituto di elettrotecnica ed elettronica politencnico di milano,1969-07-01
1871,1872.0,chebyshev interpol quadratur formula high degre erratum,salzer ,,1969-07-01
1872,1873.0,acceler lp algorithm,fox ,show novel method comput relat inner product acceler price phase algorithm lp applic indic,1969-07-01
1873,1874.0,gener pseudorandom number two complement machin ibm three hundr sixti,hemmerle ,familiar multipl congruenti examin context type two complement arithmet use ibm three hundr sixti seri differ consid relationship among posit neg residu may produc simpli econom convent approach yet latter without loss desir anoth easili gener involv absolut valu also show twice period less attract statist properti sequenc give relat previous establish criterion,1969-07-01
1874,1875.0,polynomi spline approxim quadrat program,amos  slater ,problem give set data requir certain specifi sign whole rang approxim studi two approach present quadrat program use provid constraint deriv select function yield best first modifi bernstein polynomi scheme second spline fit,1969-07-01
1875,1876.0,gener test matric certain sign pattern prescrib posit spectrum,schneider ,class orthogon present whose member transform give posit diagon matrix one four special sign pattern,1969-07-01
1876,1877.0,prevent system deadlock,habermann ,well know problem design oper system select polici prevent situat resourc alloc variou task way none task continu variou publish solut somewhat restrict either handl problem suffici gener suggest polici occas refus could safe grant present examin request light current alloc resourc determin whether grant request introduc possibl deadlock proof give appendix show condit impos algorithm necessari suffici prevent deadlock algorithm success use system,1969-07-01
1877,1878.0,recoveri reentrant list structur slip,weizenbaum ,one consequ refer count base space recoveri system employ slip reentrant structur recov even explicitli era lisp like garbag collect scheme free impedi howev depend abl find mark node reachabl program variabl trace descend program variabl may identifi collect creat function slip may amend mark list programm wish assum respons give modif lisp like garbag collector recov abandon reentrant list structur may append slip system,1969-07-01
1878,1879.0,note storag fragment program segment,randell ,main purpos paper present result seri simul experi investig phenomenon two differ type distinguish one extern name loss util caus inabl make use avail larg number separ block two intern loss util caus round request rather alloc exact number word requir strike result appar gener rule round request reduc number differ size block coexist storag caus loss storag increas intern fragment save decreas extern fragment describ also method segment alloc accompani techniqu segment address take advantag result evid present possibl advantag method convent page techniqu,1969-07-01
1879,1880.0,chebyshev solut overdetermin linear system algorithm three hundr twenti eight f four,golub ,,1969-06-01
1880,1881.0,transpos vector store array algorithm three hundr two k two,macleod ,,1969-06-01
1881,1882.0,determin squar root posit definit matrix algorithm two hundr nineti eight f one,duke ,,1969-06-01
1882,1883.0,modifi romberg quadratur algorithm one,weather ,,1969-06-01
1883,1884.0,anomali space time characterist certain program run page machin,belady  nelson  shedler ,page machin gener increas program constrain experi howev reveal revers true size store accompani decreas run time inform discus anomal behavior give case fifo replac algorithm formal treatment present,1969-06-01
1884,1885.0,comput system transform grammar,friedman ,comprehens design implement ibm three hundr sixti seven comput deal model along line chomski theori major innov includ full formal descript syntax grammar direct random phrase structur lexic insert extend definit analysi simpl problem orient program languag algorithm applic transform express present whole first discus gener attitud underli develop outlin discuss import special featur refer give paper consid particular aspect system detail,1969-06-01
1885,1886.0,gener optim code express via factor,breuer ,give compil method present increas effici object code produc first e find set sub occur two ascertain express inform correct sequenc need retain memori amount time assign execut minim total number temporari storag cell requir hold evalu order make techniqu comput feasibl heurist procedur appli henc global optim result necessarili gener algorithm also applic problem boolean switch express factor polynomi encount symbol manipul system,1969-06-01
1886,1887.0,recurs relat determin pentadiagon matrix,sweet ,recurs relat lead princip minor develop determin pentadiagon matrix numer exampl includ indic use calcul eigenvalu,1969-06-01
1887,1888.0,spline function method nonlinear boundari valu problem,blue ,solut nonlinear differenti f two point boundari condit approxim quintic cubic spline function x well suit nonuniform dynam size alloc uniform mesh size h error quintic spline x h four typic error one third numerov method requir differenti equat satisfi mesh point result set differ equat block tridiagon easili solv relax standard method,1969-06-01
1888,1889.0,introduc comput small colleg univers progress report,jr   gallie  jr   ferrel ,technic routin servic univers provid remot termin central facil access howev enough effect organiz educ methodolog introduc comput must also experi two year statewid network involv forti one discus lesson includ import separ organ repres small colleg necess campu train institut need special program document support user develop curriculum evolutionari mean,1969-06-01
1889,1890.0,simul traffic flow network,sakai  nagao ,program deal network larg describ road segment sever ten meter length repres bidirect list comput memori movement e transfer one next express proper formula base supposit determin car block speed versu densiti curv empir numer valu simul scheme excel point make possibl trace dynam behavior traffic flow varieti situat exampl give actual area citi kyoto japan,1969-06-01
1890,1891.0,three dimension comput display,ophir  shepherd  spinrad ,stereograph termin produc use raster brad recent develop brookhaven system use rotat refresh memori fee standard televis monitor produc stereograph display comput calcul project video imag object view two point result video map store refresh band rotat memori two output signal connect separ color gun color televis monitor thu creat superimpos imag screen optic separ achiev view imag color filter display interact view larg group peopl time,1969-06-01
1891,1892.0,degre multiprogram page demand system,wallace  mason ,simpl stochast model describ offer base understand relationship number program permit share memori degre multiprogram drum traffic rate central process unit util page demand multiprogram time share comput system model preserv key featur properti page demand statist impli burst page demand begin job quantum execut model markov chain analyz numer result present graphic wide rang key environ descript paramet implic result time share system design program discus calcul optim degre multiprogram wide rang paramet present graphic,1969-06-01
1892,1893.0,root polynomi root squar result routin algorithm three hundr forti c two,noltemeier ,,1969-05-01
1893,1894.0,normal random deviat algorithm three hundr thirti four g five,knop ,,1969-05-01
1894,1895.0,gaussian quadratur formula algorithm three hundr thirti one one,hill ,,1969-05-01
1895,1896.0,regular coulomb wave function algorithm two hundr nineti two twenti two,gautschi ,,1969-05-01
1896,1897.0,coulomb wave function algorithm three hundr twenti two,kolbig ,,1969-05-01
1897,1898.0,regular coulomb wave function algorithm two hundr nineti two twenti two,kolbig ,,1969-05-01
1898,1899.0,simplex method procedur employ lu decomposit algorithm three hundr fifti h,bartels  golub ,,1969-05-01
1899,1900.0,clarif fortran standard initi progress,,one thousand nine hundr sixti six four year effort fortran becam first program languag unit state sinc initi achiev studi applic specif reveal need mainten standard result work initi one thousand nine hundr sixti seven initi set clarifi interpret prepar natur mainten correct standard specif complet interpret report,1969-05-01
