,.I,.T,.A,.B,.W
610,611.0,inform dissemin studi impli concern design line refer retriev system,,,use line comput system locat bibliograph citat hail import innov cope inform explo howev line refer retriev one element larg social system inform dissemin widespread impact line system must compet success multitud sourc refer paper review studi inform dissemin basi determin line retriev best compet recommend function group line system design form write medium includ system initi data base final present criterion system satisfi wide use comprehen refer retriev method
611,612.0,interact search bibliograph data base academ environ,,,surpri differ find accept line bibliograph search univ research worker student classroom typic research worker even care prepar individu help abandon line system favor tradit search techniqu student seminar particip hand take new tool enthusiasm profit bibliograph data base physic astronomi urban system avail user line access remot inform queri system riq exampl introductori line session present report one professor particip includ
612,613.0,citat pattern fo cardiovascular serial literatur,,,attempt amplifi characterist cardiovascular serial literatur citat pattern studi previou show one third five eight hundr sixti paper nation heart institut grant one thousand nine hundr sixti seven appear within thirteen journal three exclu abstract journal remain journal use obtain basic pool three hundr cardiovascular relat articl scienc citat index use gather statist rel cite author journal year three hundr articl basic pool cite total two five hundr forti five time four year period one thousand nine hundr sixti seven one thousand nine hundr seventi figur concern citat rate year serv uphold idea journal citat reach peak third year public also definit pattern self citat note find analyz basi first author fifteen percent two five hundr forti five citat self citat ten basic journal tend cite mostli within one third citat find journal although citat find throughout three hundr forti nine journal indic exten scatter rel high percentag paper find journal
613,614.0,use pattern physic journal larg academ research librari,,,purpo investig reveal use pattern physic journal scienc librari find base upon analysi actual use data record volum issu leav librari user studi tabl truck photocopi area march fifteen june thirti one one thousand nine hundr seventi one scienc librari contain two hundr twenti physic journal studi reveal one hundr thirti eight journal sixti two seven use even three one two month interv core forti nine journal suppli nineti use item would cost fifti one one total singl subscript cost one hundr thirti eight use titl fifti two three use occur journal volum less six year old english use languag physic journal english journal account nineti five three use american journal fifti seven two publish american institut physic suppli fifti nine four total use
614,615.0,cost model evalu inform retriev system,,,paper develop mathemat model use studi minim cost oper mechan retriev system use cost analysi model provid method compar evalu inform retriev system cost model divid cost retriev system two compon system cost user cost addit suggest trade exist perform level system combin user system time expend work system minim total cost oper system alloc give perform level give cost per unit user system time
615,616.0,bibliometr analysi certain inform scienc literatur,,,sever bibliometr techniqu previou appli separ scientif literatur use togeth analysi singl corpu journal articl relat inform scienc techniqu includ bradford analysi b epidem analysi c identif research front bibliograph coupl similar analysi make write cite main corpu articl literatur turn cite main corpu result analyz term structur process observ pattern authorship public citat signif discu potenti applic method solut problem manag larg research librari
616,617.0,line serial control system larg biom librari one descript system,,,line serial control system particular emphasi storag mainten concept describ system oper sinc januari one thousand nine hundr seventi one evolv former batch card system remain complet compat system allow real time display updat element file consequ check binderi claim oper well new entri data field chang accomplish real time basi program pl one requir equip ibm time share facil one hundr k memori avail applic program ibm two thousand two hundr sixti display unit articl first three second concern analysi invert file retriev featur third compar oper line batch system compar manual oper discu cost
617,618.0,interrelationship scientif journal,,,seri model interrelationship scientif journal develop cross cite amongst two hundr seventi five journal mathemat physic chemistri biochemistri biolog data sourc journal citat index jci file deriv scienc citat index jci consist journal journal tabul cite journal index larg amount consist find cite characterist journal differ scientif field quit clear boundari field well know cross disciplinari journal cross field inform link separ disciplin appear relat orderli manner natur sequenc mathemat physic chemistri biochemistri biolog within disciplin journal form fulli transit hierarchi relat conflict
618,619.0,manag uncontrol vocabulari ex post facto,,,initi experi support divi medicin chemistri walter reed armi institut research oper retrospect retriev servic offer biosi eighth year exploit file creat essenti without vocabulari control file compri forti million index access point one eighti seven million refer research biolog announc biolog abstract bioresearch index sinc septemb one thousand nine hundr fifti nine pragmat program file build criterion pursu origin modest support offic scienc inform servic nation scienc foundat provid improv retriev annual summari vocabulari literatur avail anyon interest one
619,620.0,line serial control system larg biom librari part ii evalu retriev featur,,,line serial control system use ucla biom librari util invert file primari techniqu correct titl reach entri eighti time use averag three titl word detail profil titl structur search scheme give major determin scheme evalu perform cost basi
620,621.0,dialect inquir system new methodolog inform scienc,,,taxonomi model inform system present taxonomi deriv histori modern epistemolog epistemolog use prescript model basi one fundament problem epistemolog concern inform two histori epistemolog identifi archetyp way men conceiv inform model show differ model epistemolog make scientif oper use special kind system analysi final result preliminari experi base one model present form prescript rule design futur experi
621,622.0,overlap among journal articl select coverag biosi ca ei,,,fourteen five hundr nineti two primari journal collect monitor bioscienc inform servic biolog abstract biosi chemic abstract servic ca engin index inc ei one may one thousand nine hundr seventi four thousand eighti one monitor two servic extent three two servic select journal articl coverag determin examin servic select record juli one thousand nine hundr sixti nine june one thousand nine hundr seventi issu four thousand eighti one overlap journal maximum possibl journal articl overlap among biosi ca ei found eight hundr twenti two articl biosi ei one thousand four hundr twenti eight articl journal articl overlap biosi ca find forti eight eight hundr fifti six articl ca ei twenti one five hundr eighti three articl
622,623.0,cost effect current awar sourc pharmaceut industri,,,previou paper wellcom foundat scott et al one thousand nine hundr seventi one techniqu describ measur use commerci data base compar choic paper index term choos relev organ paper compar cost effect sever commerci data base journal scan inform scientist impact privat commun
623,624.0,clinician search inform,,,use medic librari member faculti medic school studi questionnair effort ascertain part librari play among channel commun work relat inform search studi describ popul user kind sourc util inform search effort identifi factor influenc choic kind sourc lead possibl predict use kind sourc characterist user know brought high use sourc access easi use tabul show import co worker inform commun low deleg document task librari appar main user librari studi clinician area intern medicin use journal articl disea inform use treatment patient recommend make journal shelv access index medicu nearbi book might shelv less access telephon access librari major import provi adequ photocopi facil
624,625.0,select measur retriev effect,,,argu user subject evalu person util retriev system output could properli quantifi would near ideal measur retriev effect hypothet methodolog present measur util mean elicit procedur hypothet methodolog impract compromi method outlin underli simplifi assumpt discu plausibl simplifi assumpt perform measur base well measur along evid glean valid experi certain kind suggest criterion select deriv best measur effect use give test condit
625,626.0,user interfac interact bibliograph search analysi attitud nineteen inform scientist,,,sinc littl substanti evid exist concern featur includ man machin interfac interact bibliograph search retriev ibsr system inform survey tap opinion scientist activ research area conduct analysi respon show signif level agreement concern interfac featur
626,627.0,theoret foundat thesauru construct methodolog consid thesauru updat,,,argu present day thesauru construct mainten rule convent theoret base reason rule convent updat thesauru consequ thesauru adopt oper inform storag retriev system systemat updat order investig thesauru actual updat survey conduct work hypothesi commun process author reader linear natur one way commun allow reciproc feedback thesauru util system updat index question negoti find show thesauri view commun point view allow cybernet process commun way commun survey indic present practic updat thesauru larg index alon attempt make develop theori thesauru construct updat howev argu theori develop least account concept mean knowledg within theoret framework two techniqu suggest consid systemat updat thesauru
627,628.0,environ classif concept mutual exclu,,,suggest inform scienc still stage alchemi mutual exclu must form philosoph stone mutual exclu appear alien observ univ display seri exampl relat everyday thing like tree beach man whilst relat obscur phenomenon like contin drift black hole act observ also consid consid bear problem nevertheless mutual exclu must form part man mental power find express rel exclu seri symbol use commun danger exclu think relat environ problem consid result paradox probabl unresolv final observ stand geniu appear pay scant regard exist classif like involv integr approach problem
628,629.0,promot inform servic evalu altern approach,,,articl deal promot inform servic specif format subsequ evalu differ promot program select dissemin inform sdi servic provid mechan inform center mic ohio state univ three program opinion leadership blitz telephon solicit develop data collect show program one level market penetr achiev two level user satisfact gener servic three effect term influenc variou medium employ four cost effect data analysi focu determin effect method promot sdi servic
629,630.0,novel philosophi design inform storag retriev system appropri seventi,,,philosophi system approach design inform storag retriev system suggest comput recogn proper perspect power effect altern tool philosophi contrast preval philosophi sixti mani inform system design tout comput answer inform storag retriev situat import principl inform system design incorpor within framework novel philosophi seventi present perform user need studi repr small group techniqu analysi user need includ rank order prioriti select adapt specif applic suitabl exist inform storag retriev system avail involv potenti user system design establish model interact provid feedback final design cost effect system number pitfal ari early design methodolog point avoid pitfal adopt true system approach discu
630,631.0,gener statist model estim futur demand level data base util within inform retriev organ,,,statist model charact growth pattern data base util estim futur util level demand develop inform retriev organ model develop b one e number user data base time b paramet estim illustr model appli typic inform retriev organ give discu
631,632.0,co citat scientif literatur new measur relationship two document,,,new form document coupl call co citat defin frequenc two document cite togeth co citat frequenc two scientif paper determin compar list cite document scienc citat index count ident entri network co cite paper gener specif scientif specialti exampl draw literatur particl physic co citat pattern find differ significantli bibliograph coupl pattern agr gener pattern direct citat cluster co cite paper provid new way studi specialti structur scienc may provid new approach index creation sdi profil
632,633.0,use automat text analyz prepar sdi profil,,,convent method prepar sdi select dissemin inform profil often necessit detail interview session client one inform scientist research show submit sampl client recent profess read materi automat text analysi sdi profil prepar result significantli high initi recal score prepar convent techniqu relev score significantli differ
633,634.0,select measur retriev effect part ii implement philosophi,,,argu part see jasi march april one thousand nine hundr seventi three p eighti seven best way evalu retriev system principl least elicit subject estim system util user quantifi term number util e g dollar would give exchang privileg use system naiv methodolog outlin evalu retriev system basi impract naiv evalu procedur stand rai question one decid practic measur like yield result close resembl naiv methodolog one tell whether resembl close enough make appli measur worth present paper two kind solut problem take first answer question term reason simplifi assumpt need get naiv measur propo substitut second answer experi
634,635.0,cluster scientif journal,,,cluster analysi procedur describ one hundr eighti eight journal disciplin physic chemistri molecular biolog group cluster cluster easili identifi subdisciplinari subject area data sourc cross cite amongst journal deriv journal citat index jci file deriv turn scienc citat index sci jci consist journal journal tabul cite journal process sci two step citat map link cluster present disciplin within disciplin cluster journal form fulli transit hierarchi relat conflict
635,636.0,text search retriev answer sentenc answer passag,,,new text search retriev techniqu describ retriev document sentenc document sometim occa determin comput multi sentenc sequenc sinc goal techniqu retriev answer provid document answer passag retriev answer passag passag either answer provid answer indic e permit infer document contain answer provid case answer sentenc e singl sentenc answer passag retriev great advantag screen retriev output two new automat procedur measur close relat clue word sentenc describ one approxim syntact close count number interven syntact joint roughli speak preposit conjunct punctuat mark success clue word measur use word proxim new way two measur perform equal well comput use enclosur connector word determin multi sentenc passag retriev howev procedur find studi retriev multi paragraph answer passag answer passag occur six paper test techniqu fail retriev two answer provid document seven retriev one multi paragraph answer passag one complet failur clue word select answer provid document retriev recal level great preci smart produc best previou report recal preci result retriev question mostli real user document use studi field inform scienc result studi surprisingli good retriev soft scienc reason hope less soft scienc technolog techniqu describ work even well basi dissemin retriev system near futur predict
636,637.0,break commun barrier searcher literatur file interact guid,,,challeng design program system file organ manipul user orient queri languag hold spotlight develop data process support system retriev scientif literatur biosi develop system pragmat viewpoint provid viabl self support retriev servic data base two million refer result focu attent support formul inform need effect comput search specif develop cp implement cic program claim novelti structur techniqu constitut innov applic goal primari emphasi accommod behavior user previou knowledg structur index languag detail content machin base refer file
637,638.0,densiti use absenc obsolesc physic journal,,,chen data raw frequenc use one hundr thirti eight physic journal scienc librari examin convert densiti use per meter shelf unit size obtain densiti measur discu evid synchron obsolesc one thousand nine hundr fifti five one thousand nine hundr sixti eight volum journal instead statist signif evid great densiti use great age similar evid elsewh cite rank order heavi use also radic alter convert raw frequenc densiti use suggest compar rel valu differ journal age group librari use citat studi anali raw frequenc valueless ind potenti danger mislead convert allow number avail item group examin
638,639.0,cost effect evolut inform system case studi,,,budget constraint problem cost effect advanc top prioriti list inform servic manag determin monitor effect cost effect also author trace cost effect problem back genesi inform system perform paramet shift desir direct briefli discu monthli statement intend assist manag budget plan also alert irregular cost effect either time among individu servic adopt wide could even serv mean comparison center due consid give vari condit
639,640.0,scientif premi inform scienc,,,throughout year work inform scientist plagu person profess sen doubt respect field central theme everi confer attend relat inform scienc inform scienc scienc paper hope take question head must begin say take inform scienc seriou scienc see quest understand natur inform man interact lack much quest understand great challeng scienc intend explor tradit world view bear scientif studi inform current preval world view scientif tradit extend enlighten present also intend look critic perceiv te premi underli current effort understand phenomenon inform critic necess specul intend stick neck prove assert believ idea must discuss
640,641.0,repres concept relat use tosar system idc treati iii inform retriev theori,,,success inform retriev mechan file heavili depend fidel repres concept particular languag system predict repres index languag employ predict guarant qualiti retriev predominantli govern fidel repres e extent conceptu distort concept repr avoid variou index languag vari wide respect fidel differ perform correspondingli great lack fidel present day index languag due mainli insuffici repres relationship among concept describ new graphic method store retriev concept relat variou kind point graph occupi concept connect line point repr concept relat special field chemistri graph also serv kind present essenti document reader much lucid natur languag text
641,642.0,make line search avail industri research environ,,,line interact search sever inform base sever servic oper introduc industri research environ thorough knowledg inform base structur search system major factor success search differ among search system present seriou barrier new techniqu effect use inform specialist scientist search team line search establish search tool exxon research engin compani
642,643.0,theori term import automat text analysi,,,good deal work year attempt use statist probabilist techniqu basi automat index content analysi unfortun mani method lack effect refin procedur comput unattract new techniqu know discrimin valu analysi rank text word accord much abl discrimin document collect valu term depend much averag separ individu document chang give term assign content identif best word achiev great separ discrimin valu analysi comput simpl assign specif role content analysi singl word juxtapo word phrase word group thesauru categori experi result give show effect techniqu
643,644.0,deci theoret foundat index,,,index document among crucial step prepar document retriev adequaci index determin abil system respond patron request paper discu process document retriev gener basi formal deci theori basic theoret approach take illustr mean model word occurr document context model inform system model fulli defin paper though main purpo paper provid insight complex process formula develop may prove valu autom oper system paper conclud interpret recal preci curv see point view deci theori
644,645.0,creation use citat data base modest propo,,,improv product use citat research literatur call coordin activ number abstract index servic ohio colleg librari center oclc develop cost effect line share catalog system widespread use u librari could readili serv pattern system creat share descript index line propo system outlin possibl develop note action urg
645,646.0,perform evalu studi inform scienc,,,paper consid conceptu methodolog compon inform scienc evalu studi paper discu judgment process evalu scientif natur evalu studi context purpo statement criterion select variabl data collect analysi techniqu requir valid reproduc reliabl industri valu analysi engin methodolog describ relat as inform product servic state art evalu studi inform scienc analyz respect one scope evalu studi two use laboratori type environ three use surrog judg four select variabl five frequenc studi six comparabilti studi result evalu studi see essenti manag inform center system approach growth potenti
646,647.0,optim resourc alloc librari system,,,procedur develop optim alloc resourc among mani process librari system queue theori use model process either wait balk process optim alloc resourc process defin maxim expect valu deci maker util function applic procedur specif librari system discu
647,648.0,user train line inform retriev system,,,earli one thousand nine hundr seventi clearli show trend toward use line system ideal medium inform retriev emphasi place direct access practit field rather deleg search inform specialist lead grow need effici design train transient user group print manual live help audiovisu present line instruct use vari degr success author contend use comput assist instruct conjunct line inform retriev system promi form instruct medium well messag may use acquaint novic searcher interact user system interfac
648,649.0,probabilist approach automat keyword index part distribut specialti word technic literatur,,,problem studi research develop set formal statist rule purpo identifi keyword document word like use index term document research prompt observ make number writer non specialti word word po littl valu index purpo tend distribut random collect document contrast specialti word distribut part studi mixtur two poisson distribut examin detail model specialti word distribut formula express three paramet model term empir frequenc statist deriv fit model test experi document collect find accept purpo studi measur intend identifi specialti word consist two poisson model propo evalu
649,650.0,rel effect titl abstract subject head machin retriev compendex servic,,,investig rel merit search titl subject head abstract free languag term combin element compendex data base use studi sinc contain data element interest gener result obtain experi indic expect titl alon satisfactori effici retriev combin titl abstract come close one hundr retriev search abstract alon almost well index input although necessari one hundr retriev almost case find rel unimport
650,651.0,acquisit deci model academ librari,,,deci model book acquisit develop simul intellectu process use acquir materi academ librari consist flow chart weight input equat solv indic whether librari add titl collect refer cooper group defer deci drop altogeth input model need studi develop model step defin quantifi deci process
651,652.0,relev review framework think notion inform scienc,,,inform scienc emerg third subject along logic philosophi deal relev elu human notion concern relev key notion inform scienc trace problem scientif commun relev consid measur effect contact sourc destin commun process differ view relev emerg interpret relat within framework commun knowledg differ view aro relev consid number differ point process knowledg commun suggest exist interlock interplay cycl variou system relev
652,653.0,thesauru control select group cross referenc term inclu coordin index word list,,,select group cross referenc usual singl word term base one systemat approach index depth base earlier work result reason consist index two analyt approach word form follow categori distinguish action form mean materi mean machin mean man form state variabl latent properti word form includ certain categori repr singl code categori switch cau preposit must take account three criterion term split limit semant factor occas semant integr use four critera deal antonym classifi reciproc complement unequiv opposit diametr opposit rever five introduct condit cross referenc six recognit multiword synonym major difficulti coordin index
653,654.0,analyt model librari network,,,network network model industri militari system receiv much attent oper research literatur exten network model librari network provid interest twist usual model gener librari network offer mathemat statement network problem give solut problem discu exampl use model evalu design situat provid necess work theoret appli area cite summari
654,655.0,potenti use catalog access point author titl subject,,,librari patron wish obtain known document prior person contact often rememb standard author titl subject inform suffici accuraci abl look easili present day card catalog howev may rememb surpri amount nonstandard inform color document cover approxim length could type nonstandard inform profit exploit comput catalog futur facil avail would sure use accord catalog usag survey major today librari patron seek know document substanti minor possess nonstandard inform report result memori experi test memor variou type nonstandard inform describ analyz rank accord rel memor potenti retriev use variou nonstandard book featur give estim averag patron nonstandard inform exploit appropri retriev strategi would search roughli one five hundredth mani document random search reduct factor great enough make nonstandard inform potenti use mani situat
655,656.0,measur use write technic inform chemic research,,,effect transfer technolog involv distribut paper demand use document dissemin minimum useless one one month ten research record sampl write technic inform item receiv four month later interview determin item prove use way result indic one research call item use even cau take action signif two sourc item know need research research know item seek like research find item use three strong relationship find certain readili observ physic arrang inform behavior four item may prove use inform object contain item item cau cognit restructur research mind free associ studi restrict measur inform use extern observ behavior care defin use may validli repr use research
656,657.0,standard write abstract,,,abstract defin abbrevi accur repres document follow recommend make guidanc author editor abstract primari document may help reader reproduc littl chang secondari public servic prepar abstract everi formal item journal proceed separ publish report pamphlet thesi monograph patent place abstract earli possibl document make abstract inform document permit reader may decid whether need read entir document state purpo method result conclu present document either order initi emphasi find make abstract self contain conci retain basic inform tone origin document keep abstract paper two hundr fifti word abstract report five hundr word prefer one page abstract short commun one hundr word write abstract singl paragraph normal employ complet connect sentenc activ verb ad third person employ standard nomenclatur defin unfamiliar term abbrevi symbol first time occur abstract
657,658.0,criterion use research develop engin select inform sourc,,,criterion employ engin select variou technic inform channel problem solv endeavor investig relationship certain criterion identifi past research factor frequenc channel util rate engin accept reject technic inform receiv specif channel focal point studi direct relationship find perceiv access inform channel sever object measur util wherea definit support find hypothesi channel perceiv high technic qualiti use frequent
658,659.0,highli associ document retriev system,,,paper describ document retriev system implement subset medic literatur except develop neg dictionari system oper complet automat introduc method comput term term associ factor index assign term document relev valu comput recal relev high weight provid low frequenc term retriev perform directli highli connect term document file without elabor recal relev base quantit intern system comput result compar user evalu
659,660.0,relev probabilist index inform retriev,,,paper report novel techniqu literatur index search mechan librari system notion relev take key concept theori inform retriev compar concept relev explic term theori probabl result techniqu call probabilist index allow comput machin give request inform make statist infer deriv number call relev number document measur probabl document satisfi give request rank accord probabl relev paper goe show wherea convent librari system cross referenc see see also base sole semant close index term statist measur close index term defin comput thu give arbitrari request consist one mani index term machin elabor increa probabl select relev document would otherwi select final paper suggest interpret whole librari problem one request consid clue basi librari system make concaten statist infer order provid output order list document probabl satisfi inform need user
660,661.0,automat classif reason applic statist analysi text,,,statist approach analysi document collect retriev therefrom proceed along two main line associ machin search automat classif former approach favor tendenc peopl comput field strive new method deal literatur method resembl tradit librari automat classif studi also thrive reason discuss crucial question qualiti automat classif treat consid length empir data introduc support hypothesi classif qualiti improv inform document use input classif program six nonjudg criterion use test hypothesi one hundr keyword list list repr document seri comput run number word per document increa progress twelv thirti six four six criterion indic hypothesi hold two point effect previou work kind confin ring one eight word per document final futur automat classif practic problem face outlin
661,662.0,automat index experi inquiri,,,inquiri examin techniqu automat classifi index document accord subject content task essenc comput machin read document basi occurr select clue word decid mani subject categori document question belong paper describ design execut evalu modest experi studi aim test empir one statist techniqu automat index
662,663.0,automat document classif part ii addit experi,,,studi report result seri experi techniqu automat document classif two differ classif schedul compar along two method automat classifi document categori conclud signif differ predict effici bayesian factor score method automat document classif enhanc use factor analyt deriv classif schedul approxim fifti five percent document automat correctli classifi
663,664.0,semant road map literatur searcher,,,retriev document inform one today widespread technic problem affect almost everi larg profess group corpor govern bureau document retriev part inform process problem much hope solut vest comput larg fast reliabl one around five year peopl steadili realiz task inform retriev one rote job digit comput make order catalog search intellectu task think rote menial straightforward unpalat unwant mani peopl like use mind ye plow discard irrelev materi mani peopl assum would also case inform retriev accordingli rush put comput work area lead primarili use search instrument much activ center around design oper search machineri boundari condit assum ideal searcher know want know express term understood machin ideal correspond descriptor document describ attent focu optim process boundari result theori system case seem highli adapt need machin adapt need human deal element situat author talk reader even mean buffer storag grow mechan basic problem increa mental contact reader inform store reader proceed unerringli swiftli identifi receiv messag look
664,665.0,morpholog inform flow,,,phrase inform flow may pure metaphor may refer porterag storag physic document transmiss signal power requir signal shannon select inform chang state one person knowledg propag announc concern messag social increa awar propag reaction imper matter distinct must distinguish condit must state one validli speak measur appropri flow paper show within field notif mention deliveri record messag user twenti basic activ form choo triad six variabl messag code channel sourc destin design flow mean two triad two variabl common form tetrad flow correspond pair variabl inextr conjug flow correspond pair pair endpoint six possibl distinct type flow accord two remain four variabl directli use achiev flow
665,666.0,new method automat extract,,,paper describ new method automat extract document screen purpo e comput select sentenc great possibl potenti convey reader substanc document previou work focu one compon sentenc signif name presenc high frequenc content word key word method describ also treat three addit compon pragmat word cue word titl head word structur indic sentenc locat research result oper system research methodolog extract system paramet control vari influenc four compon research methodolog includ procedur compil requir dictionari set control paramet compar evalu automat extract manual produc extract result indic three newli propo compon domin frequenc compon product well extract key word phrase automat extract automat abstract sentenc select document screen sentenc signif relev content word key word pragmat word cue word titl word sentenc locat research methodolog paramet compar evalu
666,667.0,mathemat method analyz growth scientif disciplin,,,spread idea within scientif commun spread infecti disea special case gener commun process thu gener theori epidem explain growth symbol logic one thousand eight hundr forti seven one thousand nine hundr sixti two epidem model predict rise fall particular research area within symbol logic markov chain model individu movement research area indic individu leav area expect return key word phrase epidem model epidem process theori epidem growth literatur histori symbol logic epidemiolog symbol logic epidem curv stochast model markov chain
667,668.0,automat encod chemic structur,,,mani method code chemic structur describ literatur method code compound partial typic method use descriptor code method among call cipher promin code compound exhaust method requir cerebr effort chemist need must learn rule code must know dismemb correctli structur code disadvantag code design structur furthermor gener understood chemist advantag accru chemist know gener interpret chemic code code need mechan manipul chemic structur clearli code chemic compound could accomplish automat automat conver would reliev chemist consid burden
668,669.0,rapid structur search via permut chemic line notat,,,wiswess chemic line notat uniqu unambigu method repr chemic structur linear seri letter number ampersand hyphen symbol mean chemist familiar notat process automat data process adp equip uniqu line notat permit use alphanum arrang list notat dictionari type search order arrang permit rapid locat specif compound specif class ring compound benzenoid
669,670.0,chemic structur storag search system develop du pont,,,earli one thousand nine hundr sixti one engin depart du pont recogn need good system record chemic structur inform storag subsequ retriev believ current method current develop notat system would complet serv chemist long rang chemic identif need accordingli studi develop chemic structur storag search system huber give good review variou approach applic use terminolog system topolog code initi investig lead singl follow need system
670,671.0,gener uniqu machin descript chemic structur techniqu develop chemic abstract servic,,,part develop comput base chemic inform system ca necessari devi techniqu registr draw chemic structur major purpo ca registr process determin whether particular structur alreadi store system abil make determin make possibl util comput assign everi chemic structur uniqu identifi label identifi label refer registri number thread tie togeth inform associ particular compound throughout develop ca comput system associ make possibl registr process ca abl provid multipl file correl search assur inform file particular compound locat
671,672.0,esso research experi chemic abstract microfilm,,,late one thousand nine hundr sixti four chemic abstract servic announc one thousand nine hundr sixti five would lea chemic abstract microfilm form subscrib current print abstract move microfilm enter new stage use technic inform work public medium frequent employ tool rather larg archiv document
672,673.0,rapid structur search via permut chemic line notat iii comput produc index,,,previou paper seri discu concept index permut wiswess chemic line notat signif quick scan area simpl method prepar type index small index file compound ca five thousand point prepar index larg number compound would requir use comput subject paper
673,674.0,instal oper registri chemic compound,,,sinc one thousand nine hundr fifti eight chemic abstract servic work toward establish comput base system handl chemic inform briefli concept ca system consist set special subject file follow categori one physic properti two chemic reactiv three biochem activ four applic import compound correl studi need interrel compound huge collect chemic data highli develop subsystem call registri system handl compound must first step actual oper comput base servic registri system includ file compound interconnect file associ data permit identifi compound retriev file
674,675.0,atom atom typewrit input comput storag retriev chemic structur,,,novel featur ad paper tape typewrit remov type element symbol set devi requir nine charact type common chemic structur typewrit uncod index key advanc paper without carriag return companion key back index provid directli retract paper code tape record contain inform suffici comput calcul atom bond connect tabl chemic structur obtain type structur order sole keyboard use reader prepunch tape contain frequent occur substructur cost one fourth earli paper tape chemic typewrit
675,676.0,isi experi asca select dissemin system,,,asca automat subject citat alert commerci avail sdi system cover journal literatur repertoir question asca util includ cite refer word titl author organ etc allow logic combin question paper discu differ similar citat word retriev dissemin inform problem user system interact explor techniqu develop effect interest profil describ although asca multi disciplinari system exampl field like synthet chemistri biochemistri provid
676,677.0,procedur convert systemat name organ compound atom bond connect tabl,,,simultan develop comput base chemic compound registri system chemic abstract servic devi procedur automat convert systemat name organ compound atom bound connect tabl manipul comput studi systemat chemic abstract ca index name result dictionari word root use name step step procedur convert name connect tabl statist studi nomenclatur ca index show procedur applic current nomenclatur also gener name past index procedur write applic major name carbon compound prepar comput program way
677,678.0,chemic notat code comput manipul,,,paper describ specifi rule gener code repr chemic formula may use either notat intern manipul comput registr screen atom atom search basic connect tabl conci format also contain abnorm inform relat specif atom relat atom notat produc rule unambigu defin structur connect tabl notat uniqu give number citat order atom henc uniqu depend number uniqu atom structur formula techniqu use code registri substructur search also discuss
678,679.0,conver wiswess notat connect matrix organ compound,,,comput program describ gener connect matrix use input unmodifi wiswess notat program record topolog molecul statement atom connect one symbol use repr atom symbol descript atom bond network complex molecul record seri interrupt assum linear path applic matrix inform handl chemic structur describ subsequ paper
679,680.0,swift comput storag retriev technic inform,,,uniqu method comput storag retriev technic inform appli swift signif word full titl program swift choo potenti keyword titl compar key word exclu word glossari remov insignif word intern glossari prevent duplic term keyword may either full fragment term option avail index also author index contain full citat print period cumul magnet tape file avail comput search sort print program respon inquiri conduct comput program list full citat format
680,681.0,chemic orient inform storag retriev system ii comput gener wiswess notat complex polycycl structur,,,comput program write gener canon wiswess notat complex polycycl structur program accept input connect ring atom select path conform notat rule oper program describ
681,682.0,substructur search mcc system,,,monitor system base upon comput produc print index describ paper system intend monitor larg scale experi file organ real time interact chemic inform system base upon topolog screen system ensur inclu everi compound atom includ h least one screen assign appear respon broad rang queri type amen random access techniqu monitor system also consid paper independ interim approach toward fulfil effect econom manner function requir small medium size chemic inform system thu could use encod gener structur file assign search screen provid manual substructur search capabl via microfilm hard copi print index
682,683.0,idc system chemic document,,,decad system develop firm european chemic industri find corpor idc make chemic journal patent literatur access effici comput method comprehen critic review method accommod four import type chemic data give
683,684.0,oper du pont central patent index,,,central patent index one mani inform center constitut du pont inform network develop index relationship center network follow descript oper input storag search techniqu
684,685.0,primari journal past present futur,,,histor role primari journal social institut scienc well commun medium discu particular refer function offici public scientif record prime mechan reward perform research impact variou propo chang role journal tradit function also consid predict make possibl futur state comput world
685,686.0,new develop primari journal public,,,form function journal medium commun scientist one scientist talk anoth chang greatli past one hundr year time journal evolv highli effect medium meet scientist need public distribut storag retriev scientif inform kessler describ journal success ubiquit carrier scientif inform entir histori scienc scientif paper add marvel commod invent seem take grant forget form structur fit function
686,687.0,index chemicu registri system pragmat approach substructur chemic retriev,,,index chemicu registri system icr launch one thousand nine hundr sixti eight support dozen industri govern organ current oper monthli servic subscrib receiv magnet tape printout weekli issu index chemicu ic encod wiswess line notat wln thirteen zero compound per month provid machin languag canon wln also provid alphabet printout encod four hundr zero new chemic compound ic alreadi complet includ report one thousand nine hundr sixti seven one thousand nine hundr sixti eight one thousand nine hundr sixti nine sinc tape also includ titl bibliograph inform paper describ use support softwar provid sdi search system employ word search term addit wln fragment use monthli annual printout illustr search requir comput manipul
687,688.0,multiterm index new concept inform storag retriev,,,index creativ commun medium need research develop environ creativ index achiev relationship associ thing action one anoth commun continu function vi vi real world scienc technolog chemist think chemic exampl ethyl alcohol isol ethyl alcohol mere word term without dimen chemist concept associ relat product reactant solvent reaction use properti etc within semant conceptu need would like use index retriev document need want document howev index want index direct document pertin problem want index help gener think suggest new combin want index help term languag logic semant gener specif approach whichev occur first want abil brow among term discov term tip tongu recess memori criterion index must satisfi creativ medium commun
688,689.0,grema system integr part idc system chemic document,,,genealog retriev magnet tape storag grema system potenti offer search describ input retriev procedur system explain well integr grema system idc system e machin gener grema code topolog input superimpo bit code grema code
